structure,hemisphere,region_id,region_type,n_subjects,spearman_r,spearman_p,abs_spearman_r
Paracentral_Lobule_R,lh,Paracentral_Lobule_R_lh,cortical,1060,-0.0906534728215159,0.0031361783242150197,0.0906534728215159
Rolandic_Oper_L,lh,Rolandic_Oper_L_lh,cortical,1060,-0.09025534494635586,0.0032711413634739484,0.09025534494635586
Olfactory_L,lh,Olfactory_L_lh,cortical,1060,-0.08854854538603063,0.003911659761989476,0.08854854538603063
Temporal_Pole_Sup_L,lh,Temporal_Pole_Sup_L_lh,cortical,1060,-0.08833741909294322,0.003998335339326155,0.08833741909294322
Angular_R,rh,Angular_R_rh,cortical,1060,-0.08342923306844754,0.006571885410552241,0.08342923306844754
Supp_Motor_Area_L,lh,Supp_Motor_Area_L_lh,cortical,1060,-0.08210338048203628,0.007485086325652197,0.08210338048203628
Frontal_Inf_Orb_R,rh,Frontal_Inf_Orb_R_rh,cortical,1060,-0.08035997680008675,0.008858209985308165,0.08035997680008675
Frontal_Inf_Tri_L,lh,Frontal_Inf_Tri_L_lh,cortical,1060,-0.07970819605963664,0.009426651705115821,0.07970819605963664
Cingulum_Post_R,rh,Cingulum_Post_R_rh,cortical,1060,-0.07969352721993456,0.009439810518235638,0.07969352721993456
Lingual_R,rh,Lingual_R_rh,cortical,1060,-0.07941892508536257,0.009689183128974009,0.07941892508536257
Frontal_Mid_Orb_L,lh,Frontal_Mid_Orb_L_lh,cortical,1060,-0.07935403923961537,0.009748957212563752,0.07935403923961537
Frontal_Inf_Tri_R,rh,Frontal_Inf_Tri_R_rh,cortical,1060,-0.07931253345676512,0.009787365032792792,0.07931253345676512
Calcarine_R,lh,Calcarine_R_lh,cortical,1060,-0.07900248076298819,0.010078561127766322,0.07900248076298819
SupraMarginal_L,lh,SupraMarginal_L_lh,cortical,1060,-0.0783126365285356,0.010754250530762129,0.0783126365285356
ParaHippocampal_L,lh,ParaHippocampal_L_lh,cortical,1060,-0.0783026215393007,0.010764349309517229,0.0783026215393007
Parietal_Inf_R,rh,Parietal_Inf_R_rh,cortical,1060,-0.07672011722172196,0.012469827783559513,0.07672011722172196
Hippocampus_R,rh,Hippocampus_R_rh,subcortical,1060,-0.0743533342811304,0.01546659486005337,0.0743533342811304
Frontal_Med_Orb_R,rh,Frontal_Med_Orb_R_rh,cortical,1060,-0.07221816815826484,0.01869537573077019,0.07221816815826484
Paracentral_Lobule_R,rh,Paracentral_Lobule_R_rh,cortical,1060,-0.07213953922787739,0.018824764703839127,0.07213953922787739
Parietal_Inf_L,lh,Parietal_Inf_L_lh,cortical,1060,-0.06987229276654888,0.022907501006812544,0.06987229276654888
Vermis_4_5,lh,Vermis_4_5_lh,cortical,1060,-0.06727730603041374,0.028503364152782252,0.06727730603041374
Occipital_Inf_L,lh,Occipital_Inf_L_lh,cortical,1060,-0.06712319837245419,0.028869833213827276,0.06712319837245419
Thalamus_L,lh,Thalamus_L_lh,subcortical,1060,-0.0631620351605908,0.03977926674232379,0.0631620351605908
Temporal_Sup_R,rh,Temporal_Sup_R_rh,cortical,1060,-0.061736303226350105,0.04448054259466511,0.061736303226350105
Cingulum_Post_R,lh,Cingulum_Post_R_lh,cortical,1060,-0.05958962990026003,0.052436543113937036,0.05958962990026003
Olfactory_R,rh,Olfactory_R_rh,cortical,1060,-0.058582201536265706,0.05656131930573817,0.058582201536265706
Temporal_Sup_L,lh,Temporal_Sup_L_lh,cortical,1060,-0.05555241495635031,0.07061929574266922,0.05555241495635031
SupraMarginal_R,rh,SupraMarginal_R_rh,cortical,1060,-0.05531276539343706,0.07184381319516706,0.05531276539343706
Pallidum_R,rh,Pallidum_R_rh,subcortical,598,0.05272609759893287,0.19789778295929436,0.05272609759893287
Cingulum_Post_L,lh,Cingulum_Post_L_lh,cortical,1060,-0.051571431796650045,0.09331198948491834,0.051571431796650045
Lingual_R,lh,Lingual_R_lh,cortical,1060,-0.04941876371281919,0.10782585700136589,0.04941876371281919
Heschl_L,lh,Heschl_L_lh,cortical,1060,-0.045750881950668475,0.1366025355871483,0.045750881950668475
Frontal_Med_Orb_L,lh,Frontal_Med_Orb_L_lh,cortical,1060,-0.045670275435555005,0.13729567593284225,0.045670275435555005
Angular_L,lh,Angular_L_lh,cortical,1060,-0.041773195153350214,0.17413859236657195,0.041773195153350214
Caudate_R,rh,Caudate_R_rh,subcortical,1060,-0.034201698166919876,0.2659067853420181,0.034201698166919876
Thalamus_R,rh,Thalamus_R_rh,subcortical,1060,-0.0318603148914316,0.30004546401959165,0.0318603148914316
Amygdala_R,rh,Amygdala_R_rh,subcortical,1060,-0.025662874625318677,0.40390111237236903,0.025662874625318677
Frontal_Med_Orb_R,lh,Frontal_Med_Orb_R_lh,cortical,1060,0.016054134251864558,0.6015995364118654,0.016054134251864558
Hippocampus_L,lh,Hippocampus_L_lh,subcortical,1060,-0.014949897590674333,0.6268350970406655,0.014949897590674333
Cerebelum_6_L,lh,Cerebelum_6_L_lh,cortical,1043,-0.012885553635455769,0.6776560503329271,0.012885553635455769
Amygdala_L,lh,Amygdala_L_lh,subcortical,1060,0.012876095548826261,0.675407598152149,0.012876095548826261
Cingulum_Ant_R,lh,Cingulum_Ant_R_lh,cortical,1028,0.011962862247650181,0.7016414676790138,0.011962862247650181
Temporal_Pole_Mid_L,lh,Temporal_Pole_Mid_L_lh,cortical,1060,-0.010805445488209406,0.7252920391370622,0.010805445488209406
Caudate_L,lh,Caudate_L_lh,subcortical,609,-0.00909515626655738,0.822762678562494,0.00909515626655738
Olfactory_R,lh,Olfactory_R_lh,cortical,1060,0.003864038504940862,0.9000042215658497,0.003864038504940862
Heschl_R,rh,Heschl_R_rh,cortical,1060,0.0018896642770001959,0.9510004540468131,0.0018896642770001959
